362	365
210	221
4	196
362	364
59	356
284	286
123	20
16	17
63	185
119	162
119	164
233	255
76	226
117	118
174	197
42	379
74	230
119	160
96	35
220	94
174	92
210	211
4	187
190	248
59	340
250	58
210	217
127	196
210	213
248	203
217	332
93	1
59	140
16	29
120	66
350	351
9	122
143	154
143	153
143	152
190	215
143	151
59	335
240	241
1	349
240	242
138	140
63	158
233	274
218	330
59	132
59	131
59	134
59	133
124	13
59	138
138	139
59	137
143	150
188	78
59	139
4	165
47	48
376	377
376	378
190	228
376	379
143	142
9	131
4	161
143	144
70	228
143	149
1	355
255	256
54	231
188	60
368	369
59	129
262	347
120	89
59	126
287	198
235	280
4	374
15	284
108	332
217	176
270	271
43	240
93	163
83	85
83	84
59	117
96	82
59	118
93	167
347	206
76	262
205	207
205	206
205	208
59	36
143	121
367	162
321	35
162	161
123	225
42	12
12	269
4	135
73	100
242	295
251	355
124	294
75	170
355	372
12	252
123	214
174	178
361	362
361	365
361	364
124	288
97	259
225	113
174	187
223	234
35	36
262	169
4	109
167	168
134	135
97	221
312	313
235	241
296	53
27	28
235	229
4	319
168	291
93	105
93	104
222	236
93	102
235	236
167	172
4	101
6	246
63	103
167	173
296	65
80	81
176	177
42	125
199	122
73	362
235	223
4	354
4	351
42	130
9	331
6	278
12	76
221	222
267	270
267	271
9	315
156	157
12	284
221	224
228	301
4	346
174	141
236	265
20	99
120	31
172	173
188	318
59	310
236	238
228	365
171	172
171	173
254	43
363	229
63	350
15	213
330	271
236	244
73	322
163	74
16	30
24	25
220	338
61	62
355	51
296	75
287	347
1	182
96	29
73	310
287	342
120	40
53	52
53	54
205	87
53	55
20	294
53	57
125	287
147	328
321	358
241	242
188	326
188	15
255	217
253	78
168	94
102	103
10	158
248	89
45	295
228	201
269	214
120	273
170	173
120	274
120	275
170	171
120	276
170	172
120	277
120	278
253	111
15	44
252	254
252	253
5	106
12	13
95	31
234	89
8	231
168	320
248	75
43	44
96	115
102	121
260	219
201	257
250	280
95	181
5	375
141	146
141	144
5	378
29	77
300	222
5	371
179	265
179	264
44	162
168	69
95	173
107	203
250	270
168	343
107	211
88	101
21	360
226	228
253	338
44	355
234	31
266	268
266	267
5	39
224	309
15	16
73	289
96	142
45	257
73	297
120	233
6	315
5	352
266	271
266	270
5	146
260	74
5	340
73	79
77	272
41	199
95	148
269	249
174	374
45	265
9	304
41	42
41	43
6	344
305	308
305	306
5	10
305	307
5	16
5	17
247	41
307	308
168	316
107	243
6	337
12	32
21	314
45	10
324	325
356	357
99	321
190	91
73	52
73	55
120	208
218	283
8	3
177	342
47	309
141	39
123	145
294	292
210	371
269	295
294	296
82	199
127	313
6	36
6	34
141	372
259	321
6	38
145	170
268	355
47	302
251	71
301	302
301	303
260	262
260	264
260	263
210	189
8	9
251	114
141	30
215	216
17	77
269	272
42	324
123	124
96	315
268	370
234	229
5	175
6	15
234	224
6	13
75	17
84	85
5	50
5	178
45	46
45	47
82	330
8	293
164	43
45	59
269	267
8	299
8	298
73	14
8	296
8	294
6	29
5	46
5	48
59	298
6	25
163	249
55	64
251	136
47	314
59	290
194	195
5	42
377	379
377	378
239	240
239	241
239	242
188	183
41	128
97	99
97	98
296	370
263	264
234	286
6	79
114	27
17	29
157	271
69	72
233	339
69	71
253	19
174	34
250	253
54	241
248	256
164	58
97	87
259	179
236	33
259	177
17	30
188	191
248	254
250	252
250	251
163	222
8	65
239	221
8	64
251	47
194	169
250	247
233	363
250	40
73	7
281	37
43	89
26	27
259	300
26	28
130	132
174	16
250	30
296	166
236	57
276	277
201	202
5	86
236	51
15	65
168	36
370	226
190	338
4	295
190	336
4	291
347	348
299	199
8	11
14	292
190	332
296	203
29	30
330	331
348	350
59	200
4	282
59	203
143	268
71	72
240	370
14	285
233	222
97	181
190	341
255	373
255	377
54	113
59	237
73	207
190	357
226	70
119	30
188	279
95	312
30	125
235	309
153	154
168	47
21	10
17	179
330	314
167	212
47	141
233	240
64	67
233	241
14	81
14	80
119	48
14	85
12	106
14	84
155	156
14	83
157	34
60	62
60	61
332	373
261	224
14	17
124	172
21	20
235	335
220	293
236	175
73	227
73	225
235	331
54	342
73	230
361	281
119	16
220	297
293	294
188	258
268	19
245	246
363	365
363	364
251	248
262	261
14	29
143	227
73	232
167	270
76	372
19	148
212	213
262	263
21	37
262	264
77	376
97	141
121	295
12	353
97	146
2	3
251	253
97	145
97	144
235	351
316	317
251	256
251	257
97	142
59	273
6	7
175	177
157	205
175	176
59	271
223	128
47	371
95	353
104	105
268	254
235	364
259	226
54	333
263	103
48	49
75	281
261	263
174	253
220	254
19	88
363	333
261	264
75	245
196	197
174	267
188	202
63	78
15	317
358	360
220	244
220	243
222	99
220	241
188	201
191	193
15	119
9	11
139	140
63	209
149	150
149	151
93	74
358	359
220	237
220	239
220	238
194	305
164	370
95	108
194	308
194	307
206	207
220	230
9	225
206	208
220	233
42	224
95	110
75	227
6	131
143	2
63	212
21	87
21	88
21	89
207	208
75	221
63	55
168	174
141	205
299	303
299	302
299	301
236	368
299	300
95	112
76	33
6	127
366	367
366	368
143	204
366	369
220	212
179	217
168	148
370	261
14	91
147	201
328	329
220	214
9	49
6	190
242	330
10	287
111	112
15	349
125	128
147	88
76	90
125	121
107	37
243	244
70	306
248	354
330	171
9	56
190	122
76	88
33	34
4	5
4	6
4	7
236	113
19	20
107	24
247	249
42	272
66	67
179	201
1	296
125	147
33	22
93	99
247	252
93	98
93	96
120	193
363	301
236	128
107	16
240	145
5	311
9	261
6	166
9	264
247	254
5	213
5	216
120	333
363	76
269	350
8	323
5	209
108	147
239	336
347	146
5	204
96	223
189	169
160	161
114	106
8	334
1	75
14	122
108	174
4	14
226	121
143	329
235	56
8	341
82	39
54	35
114	115
183	184
82	30
168	218
4	25
4	26
4	28
42	94
5	223
41	285
4	22
4	23
150	151
4	24
114	321
260	304
4	20
120	343
249	252
249	254
126	127
45	186
5	219
190	169
4	18
363	33
249	219
220	166
378	379
4	32
242	64
4	39
4	38
4	37
250	164
49	284
108	42
300	301
300	302
220	160
300	303
45	159
29	268
18	28
163	164
54	62
54	63
4	40
54	66
18	26
18	27
6	231
4	49
189	336
163	370
189	337
163	371
54	68
239	176
189	192
42	60
306	308
306	307
242	43
181	127
190	198
237	238
77	88
303	19
45	136
109	110
4	61
96	247
185	184
185	183
96	249
363	67
202	281
82	84
82	83
42	50
42	51
269	320
114	361
285	286
120	107
14	100
107	353
108	34
82	85
120	100
185	186
14	102
1	11
119	373
250	328
145	272
14	328
73	165
101	366
93	267
302	303
157	171
220	124
359	360
288	289
70	72
45	128
108	348
123	257
93	281
123	253
123	251
124	258
1	5
202	266
1	7
211	13
1	6
108	90
76	327
70	74
211	348
44	202
70	73
59	178
95	266
127	10
367	368
367	369
218	359
73	182
59	180
54	181
259	263
202	256
364	365
339	116
259	260
142	144
181	369
45	103
77	53
45	101
218	157
57	58
211	169
107	192
107	191
107	193
44	51
124	270
8	156
181	362
123	287
77	22
108	190
234	148
108	198
107	164
108	194
303	106
108	195
108	197
348	184
253	256
226	339
41	218
326	327
323	324
47	233
323	325
108	188
63	199
218	125
253	247
119	345
45	339
107	147
235	95
101	102
107	143
116	117
116	118
181	325
234	354
302	371
260	349
351	342
107	152
227	229
77	252
248	87
